,0
Q8TF40,0.3333333333333333
Q1ENB6,1.0
P36001,0.5
P55317,0.2
P35583,0.25
Q9PSY4,0.5
P55316,1.0
Q9BZS1,0.2
F4K2A1,1.0
B0YLW8,1.0
Q9SZL8,1.0
O82533,0.5
Q8UVD9,1.0
Q99PF5,0.030303030303030304
P93033,0.5
Q91904,1.0
Q6EWH2,1.0
Q9URU9,1.0
P53913,0.5
O60318,0.1
Q64378,0.2
Q7Z7B0,0.5
Q6P8X9,1.0
P53233,1.0
Q06787,0.25
Q8W493,0.5
Q05932,0.25
Q12676,0.5
P21525,0.08333333333333333
Q99958,1.0
O00358,0.2
P32614,1.0
Q9ASS2,1.0
Q9C0B1,0.5
Q9LXJ0,0.3333333333333333
P85845,0.3333333333333333
P02835,1.0
P91623,0.14285714285714285
Q9FV81,1.0
Q9UT77,0.5
P49027,0.5
O42248,0.2
Q9M365,1.0
Q09312,0.5
Q2VWH6,0.2
Q8BY35,1.0
Q945P0,0.3333333333333333
Q5HY92,0.5
Q8NFG4,1.0
Q9LGE3,1.0
F4IMQ0,1.0
O35943,0.3333333333333333
Q3E7I5,0.5
Q6NQJ7,1.0
Q5TBA9,1.0
O95073,0.5
Q16658,0.3333333333333333
Q05015,0.5
Q75W17,0.25
Q9H469,0.5
Q6P050,0.5
Q9UTG6,1.0
Q9CZS3,0.5
Q9QY14,0.3333333333333333
Q9I9E1,1.0
O43524,0.2
Q8W035,1.0
Q14331,0.3333333333333333
P42685,1.0
Q9UTP3,1.0
Q42545,0.16666666666666666
Q9UTI1,0.5
Q8N1E6,1.0
P04406,0.16666666666666666
Q06179,1.0
Q9NFU0,0.25
P32785,1.0
A2RVV7,1.0
O04862,1.0
Q70KY4,0.25
Q9P7X3,0.5
P16892,0.1
Q86XJ1,0.5
P24522,1.0
Q08605,0.3333333333333333
Q6YWF1,0.3333333333333333
Q8LK61,1.0
P14234,1.0
Q9SFV2,0.3333333333333333
O89106,1.0
Q9WTX7,0.5
Q2V2M9,0.5
Q9LT47,1.0
O74191,1.0
Q8K4T4,0.3333333333333333
Q96330,1.0
Q80TD3,0.3333333333333333
Q0VG06,0.5
Q8LPQ9,0.5
Q6GLS8,0.3333333333333333
Q03002,1.0
P70339,1.0
P08417,0.5
Q5BJ56,0.2
O14276,1.0
Q920R4,0.3333333333333333
Q3UCQ1,0.16666666666666666
P58012,0.3333333333333333
Q8K3Q3,1.0
Q9R1E0,0.25
Q95V55,1.0
Q9H334,1.0
Q07825,0.3333333333333333
Q9ZR07,0.25
Q16595,0.25
Q07540,1.0
P97376,0.3333333333333333
Q5SYB0,0.5
Q9M8J3,0.5
D3ZXW3,0.5
P38777,1.0
Q9DEN4,0.5
Q9CZV8,1.0
Q8C7B6,0.5
P51114,0.2
Q9UQC2,0.5
P17649,1.0
Q9QVC8,0.16666666666666666
Q15007,1.0
P53889,0.5
P36141,1.0
Q9P278,0.3333333333333333
P55318,0.25
Q9Y261,0.25
Q13461,0.05555555555555555
O16850,1.0
